,index_left,OBJECTID_x,CTRY20CD,CTRY20NM,BNG_E_x,BNG_N_x,LONG_x,LAT_x,Shape__Are_x,Shape__Len_x,OBJECTID_y,CTYUA20CD,CTYUA20NM,CTYUA20NMW,BNG_E_y,BNG_N_y,LONG_y,LAT_y,Shape__Are_y,Shape__Len_y,geometry,County / unitary (as of April 2021),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
37,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,38,E06000040,Windsor and Maidenhead,,492079,176541,-0.67541,51.48034,197867256.121666,102785.912931044,POINT (490356.2293854908 177041.9513463553),Windsor and Maidenhead,133695.0,133884.0,134043.0,134148.0,135474.0,135917.0,135036.0,132960.0,132917.0,133654.0,133541,133631,134201,135066,136446,138012,139743,141345,142424,143988,145098,145742,146278,147476,148277,149689,150140,150906,151422
38,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,39,E06000041,Wokingham,,476624,169902,-0.89935,51.42296,179124859.588287,75874.0016677131,POINT (477682.4415088757 170595.4180934512),Wokingham,141144.0,142196.0,143189.0,142653.0,143470.0,144384.0,146518.0,148091.0,147912.0,149527.0,150334,149445,148794,149008,149598,150548,152144,153191,154165,154650,154943,156658,158065,159414,161200,163087,164980,167979,171119
39,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,40,E06000042,Milton Keynes,,486408,242308,-0.7407,52.07241,309327268.513161,87925.4078110089,POINT (486897.1231060483 243530.0867291056),Milton Keynes,178272.0,180394.0,183924.0,187937.0,192359.0,196649.0,199662.0,202861.0,206664.0,209803.0,212707,215061,217597,219521,223462,227225,231033,235625,240178,245450,249895,252773,256376,260225,263181,266240,267521,268607,269457
40,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,41,E06000043,Brighton and Hove,,530279,106850,-0.15079,50.8465,85523816.9098053,48465.2595079761,POINT (531383.8372028455 106609.7931542991),Brighton and Hove,240534.0,240903.0,240640.0,240829.0,241900.0,242499.0,244745.0,246816.0,248008.0,248791.0,249949,249743,249846,249847,252863,255564,258161,262019,265584,269495,272952,275724,277991,280650,284073,287173,288155,290395,290885
41,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,42,E06000044,Portsmouth,,465619,101352,-1.07006,50.808,39178188.5313911,51554.1793642027,POINT (465534.9446443496 102835.0166406187),Portsmouth,186754.0,187613.0,187391.0,187901.0,188923.0,189498.0,189427.0,189119.0,187768.0,187820.0,188043,188476,190283,193483,196318,195964,194907,196036,198983,202700,205433,206517,206670,208037,210538,213335,214718,215133,214905
42,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,43,E06000045,Southampton,,442303,113700,-1.39952,50.9212,53090944.0732155,38059.1784530292,POINT (442399.7953529817 113510.3266583657),Southampton,204752.0,205428.0,206489.0,209126.0,211178.0,212924.0,213689.0,215530.0,216057.0,217273.0,219539,220459,221989,223589,226655,226698,227223,228447,230017,233085,235870,238519,239858,242106,246054,250377,252359,252796,252520
43,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,44,E06000046,Isle of Wight,,447183,85949,-1.33366,50.67129,381511432.427771,107978.588403458,POINT (449694.6875908316 86350.85820654426),Isle of Wight,125894.0,125620.0,125228.0,125438.0,126168.0,126696.0,127306.0,128575.0,129997.0,131431.0,132925,133908,134783,135891,137179,137727,138289,138675,138361,138364,138392,138826,138555,139332,139763,140264,140984,141538,141771
44,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,45,E06000047,County Durham,,410381,532242,-1.8405,54.68513,2231981189.7086,263873.617316414,POINT (410410.2542611682 533403.0030391318),County Durham,501488.0,501608.0,501270.0,500924.0,499927.0,498930.0,498533.0,496945.0,496096.0,495138.0,493678,493538,493931,495147,497218,499348,502960,505617,507311,510628,512994,514261,515923,517573,519347,521776,523662,526980,530094
45,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,46,E06000049,Cheshire East,,380510,363462,-2.29299,53.16793,1168796057.55982,236392.416985265,POINT (376738.220933003 364926.64752382),Cheshire East,340546.0,342260.0,344113.0,346153.0,348698.0,349911.0,350985.0,352066.0,350932.0,351234.0,352104,353348,355529,357354,359807,362049,365003,367160,368023,369051,370736,372383,373006,374606,375722,377303,378846,380790,384152
46,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,47,E06000050,Cheshire West and Chester,,353097,363145,-2.70298,53.16336,916831933.27861,214193.425388783,POINT (351207.7319348161 366904.4878802325),Cheshire West and Chester,312715.0,314424.0,316997.0,317808.0,317440.0,317566.0,318968.0,320132.0,319598.0,321113.0,322154,322657,324378,325496,327169,328358,329364,329353,329116,329553,329526,330224,331069,332272,333949,335724,337986,340502,343071
47,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,48,E06000051,Shropshire,,350227,302960,-2.73667,52.62212,3188264185.4566,469624.12470206,POINT (350413.64994561 304417.6359778692),Shropshire,268716.0,269333.0,269841.0,272689.0,274515.0,276031.0,274693.0,277374.0,279294.0,281479.0,283254,284901,286913,288810,291523,294531,297633,300473,302069,304523,307108,308416,309085,310774,312227,314392,317459,320274,323136
48,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,49,E06000052,Cornwall,,212497,64493,-4.64254,50.45022,3575746111.94126,546004.838435013,POINT (199236.5325255038 60071.94065071921),Cornwall,469540.0,471059.0,472707.0,475425.0,478400.0,479017.0,483206.0,486089.0,490563.0,495373.0,499937,504644,508579,511810,515098,517984,521957,524973,526365,529794,533760,538249,541734,545961,550283,555057,561349,565968,569578
50,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,51,E06000054,Wiltshire,,405209,158863,-1.92661,51.32883,3258221477.74877,348922.106721656,POINT (403982.0146467042 155365.8840752152),Wiltshire,398650.0,403871.0,407284.0,410702.0,414251.0,415836.0,418840.0,422136.0,425242.0,428251.0,433508,438386,442633,445632,448670,453041,458840,464007,466711,470199,474319,476914,479911,484560,488487,492240,496043,498064,500024
51,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,52,E06000055,Bedford,,505721,256463,-0.45463,52.19628,475803430.167877,115931.402375604,POINT (504283.0368039594 255631.863537421),Bedford,135443.0,136858.0,136991.0,137006.0,137231.0,138023.0,139990.0,141556.0,143765.0,146146.0,148113,149589,150684,151308,151747,152346,153107,154164,154808,156535,157840,159369,161553,163999,166376,168814,169912,171623,173292
52,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,53,E06000056,Central Bedfordshire,,504615,234492,-0.47754,51.99903,709169826.973618,200740.568495412,POINT (507448.5725900906 235459.9866812053),Central Bedfordshire,220504.0,221311.0,221196.0,222301.0,223742.0,225607.0,226525.0,227371.0,230636.0,232004.0,234006,236297,238547,240444,242062,244351,246803,249035,250329,252460,255644,259591,263793,267846,272421,276731,280030,283606,288648
53,0.0,1.0,E92000001,England,394883.0,370883.0,-2.07811,53.23497,130681553811.476,4616815.79617614,54,E06000057,Northumberland,,395322,600699,-2.07523,55.30037,5027276699.47932,424657.525904155,POINT (395744.8319199399 593791.786606599),Northumberland,305521.0,306086.0,306129.0,306545.0,305931.0,305804.0,306756.0,307241.0,307490.0,307348.0,307363,308499,309448,310140,310752,311375,312960,314057,314489,315463,316278,316489,316389,316832,316453,317444,319030,320274,322434
